NU_SEQUENCIAL;NU_ANO;CO_ESCOLA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO
190870;2024;;;;;;;;;1500602;Altamira;15;PA;0;1;1;0;;1384;1396;;;392.8;329.9;;;ABEBDADBEAECCECAECDCBBAEBDBEABADBACEEBDEAEDCA;AAECAADACECEEBECDDCABAEDCEEBEACEAEADAABDDADEA;;0;;DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA;AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC;;1;100;80;80;80;0;340
413136;2024;;;;;;;;;1500602;Altamira;15;PA;1;1;1;1;1421;1386;1397;1409;439.7;386.6;457.8;391.7;DDAEEABDCDAAADCCACDEDAEDACBCDAAAEBDDEBCDABBCA;ECBCDEEBEEADBCEABDCABDBDEADBDCABCDEDCBAADBBDE;DAADCDCDEABCEADEDDABDEBADACEEBEADEEDBAACCBECD;ADCEABCDEEDCBAADBEDBDABDCDCBCDABDDBACBBEDAAAB;0;DDBDDEBBAAEDECBCEEDCAACDBBCEDBBAEXCCAEAACCAED;ACBCADCEDBAECEDADBADBEBCDADABCDEABCAEDEBBCECE;AACEADACDDCBEDADEEBDDBDBBCEECBDCBADDDCBDEDDCECBECE;CEBCEADBBCEADDDABBABBCCDCCECEDBACADECABEDADCB;4;0;0;0;0;0;0
1712793;2024;;;;;;;;;1500602;Altamira;15;PA;1;1;1;1;1419;1385;1398;1407;409.6;521.3;531;394.6;EDBADCCCDBBCDEAEEBCDBACAECABDCECDEEBCDBBADCDB;CBEBADDCCBECEBADBAEACDCADEABDEBDEACBDACEABBDE;CDDDACACADEECAACEACBADCEAEAECCEBCEDDCDABCAECB;DACBCEBCECABDAACDCBEAADBCADEBCBCEADDBEDCADABD;1;BCEAACDEDCAAEDDDEBBDDBECCAEDBBAAACCAEEXCBBCED;CAEDBADBEBCCEDADBAEACBCADCEDEBBEBACECEABCDDAD;EAAACDDCDADDCBDEECEECBDCDADEEBCBEBADBCEBDBDDDDCECB;ABBABBADDDBBCECEADCEBCCCDBADCBEDAECADACDBCECE;1;120;140;120;120;40;540
2532405;2024;;;;;;;;;1500602;Altamira;15;PA;1;1;1;1;1420;1383;1395;1408;422.4;469.1;500.6;378.3;DEACEAEEAEAEDEDEBDBDCCDDEEEAACAAEABEEAABEEDAD;AAEBACDACADDDEDCEBDECBACDBAEDACADBECACBADABDD;CBADCAEBEEEAACBAECBAAADBEBCABCCCDBDDBBEBACDEB;DACDEDEDABBDCBDAADABADDDDEDECCBBEEEEAAEBDDDAC;1;CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB;CECEBEBCDBADDEBBABCDCAECEDADBAEABEADCEDADACBC;CAAAECDDDAECBECEDDCBDEDDCECBDCBCEADBBDBDDCBEDADEEB;CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE;1;80;120;80;80;80;440
1612513;2024;;;;;;;;;1500602;Altamira;15;PA;1;1;1;1;1421;1386;1397;1409;578.9;562.7;581.8;692;BACDACBBABBCACBABCBBDCCBBBADBBBAEBBEAEAACEEEC;ABBCADEDBEAECCDADBBDADAEAADCBCDEDECADDDBAABCB;BACEAACECADEEBDEBDBBCEDCAADDAEBBCBDEDDAECBECA;CDBBBADADDBBCBDABBBCBCCDCEECADBABBCCBAAAEABDC;0;DDBDDEBBAAEDECBCEEDCAACDBBCEDBBAEXCCAEAACCAED;ACBCADCEDBAECEDADBADBEBCDADABCDEABCAEDEBBCECE;AACEADACDDCBEDADEEBDDBDBBCEECBDCBADDDCBDEDDCECBECE;CEBCEADBBCEADDDABBABBCCDCCECEDBACADECABEDADCB;1;160;200;180;180;180;900
2089092;2024;;;;;;;;;1500602;Altamira;15;PA;1;1;1;1;1420;1383;1395;1408;569.4;293.6;505.1;436.7;ECEDDEDCAEEBDCADCEBCCADECEDEEDBACCCBEDDDBBDDB;AABCDBBEEDBCCBDAEAAADECBBABAAEDBAABACBEADBDEE;CCADDBCBECEAEABCDDDCECDBEBDEBECCDDEDDDEEABEDB;DEECBAEDABECDAADBEBCCACEBCEECCCDDDCABCEDCDCBC;0;CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB;CECEBEBCDBADDEBBABCDCAECEDADBAEABEADCEDADACBC;CAAAECDDDAECBECEDDCBDEDDCECBDCBCEADBBDBDDCBEDADEEB;CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE;1;80;100;80;100;80;440
210977;2024;15106250;1501725;Brasil Novo;15;PA;2;1;1;1500602;Altamira;15;PA;1;1;1;1;1422;1384;1396;1410;480;526.7;524.4;541.2;DCAABBAEDECBDEDAAECADACDCDECBBEEBACAAEDCBACEB;DADBEADAECBDEEDCBBBADCDEDCAADBEBEAEDBADBECBEA;DCDBCBADECBCDBCEBDAAACDBCCAEADBCEBCAECDECECBB;BCCEBCABAEBCACDDABEACBDDADBCBEDAEBEDBCABECAEB;1;BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD;DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA;AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC;DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD;1;120;160;120;160;100;660
2545825;2024;;;;;;;;;1500602;Altamira;15;PA;1;1;1;1;1422;1384;1396;1410;390.9;387.9;353.9;424.2;BCECCAA*AEEAADDADDDBCAAEBDAEDDDEACEDCACAADDBC;EAABABEDBECEDABEECBEABBCADACDEDDAAEACA*ABCAAD;DACECBEADAEBBAAECCCADABADAAAAEBDAADECEBAEDEDB;CAECBAEBCEDEADBEACABABCAEDBDAEDCAEBDACEBCBECC;0;BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD;DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA;AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC;DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD;1;100;140;60;80;60;440
663582;2024;15582728;1500859;Anapu;15;PA;2;1;1;1500602;Altamira;15;PA;0;1;1;0;;1384;1396;;;350.1;541.4;;;EBCDCAECCBECBAADCEBDECAADBEDACACEEEBDEBDADEAA;ABDCEEBDECBEDDCEBDDADACEDDAABDBDEBD.EACECEABC;;0;;DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA;AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC;;1;80;80;60;60;0;280
3145568;2024;;;;;;;;;1500602;Altamira;15;PA;1;1;1;1;1421;1386;1397;1409;568.5;491.2;430.4;418;CDBECCEBCABCCBCBBEDEADCCDDCDDDBBEBCCADADDEEEA;ABDEDDAECEDDCDBBCEBDBAAEBBDEDBCCABAAEDAAEDECA;ABBAEAABDAEDEADEBEAADACAEAEACAACCEBEAAAACDEDA;AEACCEDABABDAEDEBADDCADABAACEBCEDBCCABADECAAC;1;DDBDDEBBAAEDECBCEEDCAACDBBCEDBBAEXCCAEAACCAED;ACBCADCEDBAECEDADBADBEBCDADABCDEABCAEDEBBCECE;AACEADACDDCBEDADEEBDDBDBBCEECBDCBADDDCBDEDDCECBECE;CEBCEADBBCEADDDABBABBCCDCCECEDBACADECABEDADCB;1;120;120;100;120;0;460
